,Bill Number,Title,Link,Description,Last Action,Governor Signed,Sponsors,Subjects,Session,Types,Last Action Date
5011,SB20-046,Clarify Double Electrical Inspection Fees If Late,/bills/sb20-046,Concerning a clarification that electrical inspection fees may be doubled if an application for an electrical permit is not filed in advance of the commencement of an electrical installation.,Last Action:05/28/2020 | House Second Reading Laid Over to 12/31/2020 - No Amendments,0,"Sen. J. Tate, Rep. J. Arndt",Professions & Occupations,2020 Regular Session,Type:Bill,2020-05-28
5012,SB20-047,Financial Institution Agent Analyses Not Real Estate Appraisal,/bills/sb20-047,Concerning an exemption from the definition of a real estate appraisal of analyses prepared by agents of financial institutions for the institutions' internal use only.,Last Action:03/11/2020 | Governor Signed,1,"Sen. A. Williams, Sen. J. Tate, Rep. T. Kraft-Tharp, Rep. K. Van Winkle",Professions & Occupations,2020 Regular Session,Type:Bill,2020-03-11
5013,SB20-048,Study Strengthening Water Anti-speculation Law,/bills/sb20-048,Concerning a study to consider the strengthening of the prohibition on speculative appropriations of water.,Last Action:03/11/2020 | Governor Signed,1,"Sen. K. Donovan, Sen. D. Coram, Rep. D. Roberts, Rep. M. Catlin",Water,2020 Regular Session,Type:Bill,2020-03-11
5014,SB20-049,Senior Property Tax Exemption Medical Necessity,/bills/sb20-049,Concerning the preservation of the senior property tax exemption of a senior who changes primary residences due to medical necessity.,"Last Action:01/29/2020 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Sen. B. Gardner, Rep. T. Carver, Rep. S. Beckman",Fiscal Policy & Taxes,2020 Regular Session,Type:Bill,2020-01-29
5015,SB20-050,Eligible Educator Supplies Tax Credit,/bills/sb20-050,Concerning a state income tax credit related to eligible educators' personal expenses.,Last Action:02/6/2020 | Senate Committee on Finance Postpone Indefinitely,0,"Sen. R. Woodward, Rep. M. Baisley",Education & School Finance (Pre & K-12)Fiscal Policy & Taxes,2020 Regular Session,Type:Bill,2020-02-06
5016,SB20-051,License Plate Expiration On Change Of Ownership,/bills/sb20-051,"Concerning license plates, and, in connection therewith, specifying that, in order to minimize potential lost registration revenue, the license plates of a motor vehicle that is classified as Class C personal property expire upon the sale or transfer of the motor vehicle, and making an appropriation.",Last Action:07/11/2020 | Governor Vetoed,0,"Sen. K. Priola, Rep. A. Valdez",Transportation & Motor Vehicles,2020 Regular Session,Type:Bill,2020-07-11
5017,SB20-052,Smart School Bus Safety Pilot Program,/bills/sb20-052,Concerning the creation of the smart school bus safety pilot program.,Last Action:06/10/2020 | Senate Committee on Appropriations Postpone Indefinitely,0,"Sen. D. Coram, Sen. R. Zenzinger, Rep. J. Wilson",Education & School Finance (Pre & K-12),2020 Regular Session,Type:Bill,2020-06-10
5018,SB20-053,Retail Liquor Stores Additional Licenses,/bills/sb20-053,Concerning the ability of a retail liquor store licensee to obtain additional retail liquor store licenses.,"Last Action:02/5/2020 | Senate Committee on Business, Labor, & Technology Postpone Indefinitely",0,Sen. J. Bridges,"Liquor, Tobacco, & Marijuana",2020 Regular Session,Type:Bill,2020-02-05
5019,SB20-054,Rural Development Grant Program Creation,/bills/sb20-054,Concerning the creation of the rural development grant program.,Last Action:02/6/2020 | Senate Committee on Agriculture & Natural Resources Postpone Indefinitely,0,"Sen. D. Coram, Rep. B. McLachlan",Business & Economic Development,2020 Regular Session,Type:Bill,2020-02-06
5020,SB20-055,Incentivize Development Recycling End Markets,/bills/sb20-055,"Concerning the expansion of market mechanisms for the further development of recycling, and, in connection therewith, making an appropriation.",Last Action:07/13/2020 | Governor Signed,1,"Sen. K. Priola, Sen. T. Story, Rep. L. Cutter, Rep. J. Arndt",Business & Economic Development,2020 Regular Session,Type:Bill,2020-07-13
5021,SB20-056,Surplus Military Vehicles Highway Use If Firefighting,/bills/sb20-056,"Concerning surplus military vehicles, and, in connection therewith, exempting a surplus military vehicle from the statutory definition of an ""off-highway vehicle"" if the vehicle is owned or leased by a municipality, county, or fire protection district for the purpose of assisting firefighting efforts and making an appropriation.",Last Action:07/13/2020 | Governor Signed,1,"Sen. L. Crowder, Rep. P. Will, Rep. B. McLachlan",Transportation & Motor Vehicles,2020 Regular Session,Type:Bill,2020-07-13
5022,SB20-057,Fire Prevention & Control Employee Benefits,/bills/sb20-057,"Concerning the inclusion of firefighters employed by the department of public safety in the division of fire prevention and control in certain employee benefits, and, in connection therewith, making an appropriation.",Last Action:06/29/2020 | Governor Signed,1,"Sen. P. Lee, Rep. M. Snyder, Rep. L. Cutter",State Government,2020 Regular Session,Type:Bill,2020-06-29
5023,SB20-058,Facilitate Asphalt Shingle Recycling,/bills/sb20-058,Concerning the facilitation of asphalt shingle recycling.,Last Action:02/11/2020 | Senate Committee on Local Government Postpone Indefinitely,0,"Sen. V. Marble, Rep. L. Saine",Natural Resources & Environment,2020 Regular Session,Type:Bill,2020-02-11
5024,SB20-059,Sexual Assault On A Student By An Educator,/bills/sb20-059,Concerning sexual contact between a student and an educator in violation of the public trust.,Last Action:05/26/2020 | House Committee on Judiciary Postpone Indefinitely,0,"Sen. D. Hisey, Rep. C. Larson","Crimes, Corrections, & Enforcement",2020 Regular Session,Type:Bill,2020-05-26
5025,SB20-060,Criminal Justice System Operational Processes Study,/bills/sb20-060,Concerning a study to examine operational processes within the criminal justice system.,Last Action:06/10/2020 | Senate Committee on Appropriations Postpone Indefinitely,0,"Sen. J. Gonzales, Sen. R. Rodriguez, Rep. S. Gonzales-Gutierrez","Courts & JudicialCrimes, Corrections, & Enforcement",2020 Regular Session,Type:Bill,2020-06-10
5026,SB20-061,Yield To Bicycles In Bicycle Lanes,/bills/sb20-061,Concerning a requirement to yield to a bicycle in a bicycle lane.,Last Action:03/20/2020 | Governor Signed,1,"Sen. M. Foote, Rep. K. Becker",Transportation & Motor Vehicles,2020 Regular Session,Type:Bill,2020-03-20
5027,SB20-062,Enactment of CRS 2019,/bills/sb20-062,Concerning the enactment of the Colorado Revised Statutes 2019 as the positive and statutory law of the state of Colorado.,Last Action:03/5/2020 | Governor Signed,1,"Sen. B. Gardner, Sen. P. Lee, Rep. L. Herod, Rep. M. Soper",State Government,2020 Regular Session,Type:Bill,2020-03-05
5028,SB20-063,Recodify Statutes Concerning Department Of Law,/bills/sb20-063,Concerning the recodification of statutory provisions governing the department of law.,Last Action:03/11/2020 | Governor Signed,1,"Sen. P. Lee, Rep. M. Weissman, Rep. H. McKean",State Government,2020 Regular Session,Type:Bill,2020-03-11
5029,SB20-064,Authority Attorney General Challenge Fed-reviewed Mergers And Antitrust,/bills/sb20-064,Concerning the repeal of a prohibition on the state attorney general bringing an action under state antitrust law when certain corporate actions have been reviewed by a federal entity.,Last Action:03/20/2020 | Governor Signed,1,"Sen. M. Foote, Rep. M. Soper, Rep. K. Tipper",Business & Economic Development,2020 Regular Session,Type:Bill,2020-03-20
5030,SB20-065,Limit Mobile Electronic Devices While Driving,/bills/sb20-065,"Concerning a limitation on the use of mobile electronic devices while driving, and, in connection therewith, making an appropriation.",Last Action:05/27/2020 | House Committee on Transportation & Local Government Postpone Indefinitely,0,"Sen. C. Hansen, Rep. D. Roberts",Transportation & Motor Vehicles,2020 Regular Session,Type:Bill,2020-05-27
5031,SB20-066,Highly Effective Teachers And Low-performing Schools,/bills/sb20-066,"Concerning distribution of grant money to local education providers to fund incentives for highly effective teachers as identified by objective measures of student academic growth to teach in low-performing schools, and, in connection therewith, creating the ""Greatest Resources for Education Are Teachers Act"" and making an appropriation.","Last Action:01/29/2020 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Sen. K. Priola, Rep. B. Buentello, Rep. L. Saine",Education & School Finance (Pre & K-12),2020 Regular Session,Type:Bill,2020-01-29
5032,SB20-067,Vehicle Specific Ownership Tax Actual Price,/bills/sb20-067,Concerning the use of a vehicle's actual purchase price to determine the taxable value for the computation of specific ownership tax.,Last Action:02/4/2020 | Senate Committee on Finance Postpone Indefinitely,0,Sen. L. Crowder,State Revenue & BudgetTransportation & Motor Vehicles,2020 Regular Session,Type:Bill,2020-02-04
5033,SB20-068,Interstate Branches For State Credit Unions,/bills/sb20-068,Concerning an authorization of state credit unions opening branches in other states.,Last Action:06/29/2020 | Governor Signed,1,"Sen. D. Moreno, Rep. K. Mullica",Financial Services & Commerce,2020 Regular Session,Type:Bill,2020-06-29
5034,SB20-069,Disabled Veterans Free State Park Access,/bills/sb20-069,Concerning the documentation required for a disabled veteran to receive a free transferable annual parks pass.,Last Action:03/11/2020 | Governor Signed,1,"Sen. L. Garcia, Rep. B. Buentello",Military & VeteransNatural Resources & Environment,2020 Regular Session,Type:Bill,2020-03-11
5035,SB20-070,Traffic Offense Classification And Penalties,/bills/sb20-070,"Concerning penalties for traffic offenses, and, in connection therewith, distributing money collected from a traffic violation to the county in which the violation occurs.",Last Action:06/13/2020 | Senate Committee on Appropriations Postpone Indefinitely,0,"Sen. D. Coram, Sen. P. Lee, Rep. M. Catlin, Rep. M. Gray","Crimes, Corrections, & EnforcementTransportation & Motor Vehicles",2020 Regular Session,Type:Bill,2020-06-13
5036,SB20-071,Permissible Uses Of State-owned Motor Vehicles,/bills/sb20-071,Concerning clarification regarding the use of a state-owned motor vehicle by an employee of a state agency to travel away from home.,Last Action:03/5/2020 | Governor Signed,1,"Sen. J. Smallwood, Sen. R. Fields, Rep. D. Michaelson Jenet, Rep. R. Bockenfeld",State Government,2020 Regular Session,Type:Bill,2020-03-05
5037,SB20-072,Human Sexuality Education Notification Requirement,/bills/sb20-072,Concerning the requirement to provide information to parents regarding the materials used during comprehensive human sexuality instruction.,"Last Action:02/3/2020 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Sen. B. Gardner, Rep. C. Larson",Education & School Finance (Pre & K-12),2020 Regular Session,Type:Bill,2020-02-03
5038,SB20-073,No 529 Account Income Tax Deduction for K-12 Expenses,/bills/sb20-073,"Concerning amendments to the state income tax deduction for contributions to a qualified 529 account to ensure that the state income tax deduction is not aligned with the changes in the federal ""Tax Cuts and Jobs Act"" of 2017 that allow tax-free distributions for elementary and secondary school expenses, and, in connection therewith, making an appropriation.",Last Action:05/26/2020 | House Committee on Education Postpone Indefinitely,0,"Sen. B. Pettersen, Sen. T. Story, Rep. B. Buentello, Rep. L. Cutter",Fiscal Policy & Taxes,2020 Regular Session,Type:Bill,2020-05-26
5039,SB20-074,Bonuses For Highly Effective Teachers,/bills/sb20-074,"Concerning support for local education providers to provide monetary rewards for teachers rated highly effective, and, in connection therewith, creating the highly effective teacher bonus program.",Last Action:02/11/2020 | Senate Committee on Finance Postpone Indefinitely,0,"Sen. P. Lundeen, Rep. D. Williams",Education & School Finance (Pre & K-12),2020 Regular Session,Type:Bill,2020-02-11
5040,SB20-075,Competency Evaluations By Advanced Practice Nurses,/bills/sb20-075,Concerning the authority of certain advanced practice nurses to conduct competency evaluations.,"Last Action:02/5/2020 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Sen. L. Crowder,"Crimes, Corrections, & Enforcement",2020 Regular Session,Type:Bill,2020-02-05
5041,SB20-076,Parole Eligibility For Youthful Offenders,/bills/sb20-076,Concerning parole eligibility for an offender who committed an offense between eighteen and twenty-five years of age.,Last Action:06/10/2020 | Senate Committee on Appropriations Postpone Indefinitely,0,"Sen. P. Lee, Rep. S. Gonzales-Gutierrez","Crimes, Corrections, & Enforcement",2020 Regular Session,Type:Bill,2020-06-10
5042,SB20-077,Born Alive Child Physician Relationship,/bills/sb20-077,Concerning the enforcement of the rights of a living child after an abortion.,"Last Action:02/3/2020 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Sen. R. Woodward, Rep. S. Sandridge",Health Care & Health InsuranceProfessions & Occupations,2020 Regular Session,Type:Bill,2020-02-03
5043,SB20-078,Dogs On Restaurant Patios,/bills/sb20-078,Concerning the ability of a person to bring a pet dog onto the premises of a restaurant.,Last Action:03/23/2020 | Governor Signed,1,"Sen. K. Donovan, Rep. A. Garnett, Rep. P. Neville",Public Health,2020 Regular Session,Type:Bill,2020-03-23
5044,SB20-079,Method Of Notifying People Of Amber Alerts,/bills/sb20-079,Concerning the method of notifying people of Amber alerts to promote the largest reach of community notifications.,Last Action:03/20/2020 | Governor Signed,1,"Sen. R. Fields, Sen. D. Hisey, Rep. D. Valdez",State Government,2020 Regular Session,Type:Bill,2020-03-20
5045,SB20-080,Consumer Protection Act Damages,/bills/sb20-080,"Concerning amending the ""Colorado Consumer Protection Act"" to increase the damages for which a plaintiff is eligible.",Last Action:06/4/2020 | House Committee on Finance Postpone Indefinitely,0,"Sen. R. Rodriguez, Rep. S. Woodrow",Civil LawCourts & Judicial,2020 Regular Session,Type:Bill,2020-06-04
5046,SB20-081,School Information For Apprenticeship Directory,/bills/sb20-081,Concerning including school information in the Colorado state apprenticeship resource directory.,Last Action:03/20/2020 | Governor Signed,1,"Sen. J. Danielson, Sen. J. Bridges, Rep. T. Sullivan, Rep. C. Larson",Education & School Finance (Pre & K-12)Labor & Employment,2020 Regular Session,Type:Bill,2020-03-20
5047,SB20-082,Department Of Military And Veterans Affairs Awards,/bills/sb20-082,Concerning awards issued by the department of military and veterans affairs.,Last Action:03/20/2020 | Governor Signed,1,"Sen. D. Hisey, Sen. N. Todd, Rep. L. Landgraf, Rep. S. Lontine",Military & Veterans,2020 Regular Session,Type:Bill,2020-03-20
5048,SB20-083,Prohibit Courthouse Civil Arrest,/bills/sb20-083,Concerning prohibiting civil arrest while on courthouse grounds.,Last Action:03/23/2020 | Governor Signed,1,"Sen. J. Gonzales, Rep. L. Herod",Courts & Judicial,2020 Regular Session,Type:Bill,2020-03-23
5049,SB20-084,Prohibit Requiring Employee Immunization,/bills/sb20-084,Concerning a prohibition against requiring employees to be vaccinated.,"Last Action:02/10/2020 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Sen. V. Marble, Rep. L. Saine",Public Health,2020 Regular Session,Type:Bill,2020-02-10
5050,SB20-085,Sex Offender Community Corrections Requirements,/bills/sb20-085,Concerning a requirement that a sex offender being placed in a community corrections program meet certain requirements for a sex offender being released on parole.,Last Action:07/7/2020 | Governor Signed,1,"Sen. R. Zenzinger, Sen. B. Gardner, Rep. D. Michaelson Jenet, Rep. M. Soper","Crimes, Corrections, & Enforcement",2020 Regular Session,Type:Bill,2020-07-07
5051,SB20-086,Alcohol Beverage License And Permit Expiration,/bills/sb20-086,"Concerning requirements associated with the expiration of legal authority to sell alcohol beverages, and, in connection therewith, authorizing the executive director of the department of revenue to notify alcohol beverage licensees of an expiring license by any reasonable means as determined by rule and to establish a fee for renewal applications for license or permit renewals for alcohol beverages and fermented malt beverages.",Last Action:03/23/2020 | Governor Signed,1,"Sen. A. Williams, Sen. C. Holbert, Rep. M. Snyder, Rep. H. McKean","Business & Economic DevelopmentLiquor, Tobacco, & Marijuana",2020 Regular Session,Type:Bill,2020-03-23
5052,SB20-087,Require Credentials Central Service Technicians,/bills/sb20-087,Concerning requiring central service technicians to possess professional credentials.,Last Action:05/28/2020 | House Second Reading Laid Over to 12/31/2020 - No Amendments,0,"Sen. N. Todd, Rep. K. Mullica",Health Care & Health Insurance,2020 Regular Session,Type:Bill,2020-05-28
5053,SB20-088,Evidentiary Rules When Interference With Witness,/bills/sb20-088,Concerning evidentiary rules when a defendant interferes with a witness.,Last Action:06/26/2020 | Governor Signed,1,"Sen. R. Fields, Rep. D. Roberts, Rep. M. Soper","Courts & JudicialCrimes, Corrections, & Enforcement",2020 Regular Session,Type:Bill,2020-06-26
5054,SB20-089,Educator Pay Raise Fund,/bills/sb20-089,Concerning funding assistance to increase the minimum amounts paid to persons employed by local education providers.,Last Action:05/28/2020 | Senate Second Reading Laid Over to 12/31/2020 - No Amendments,0,"Sen. J. Danielson, Sen. L. Garcia, Rep. S. Gonzales-Gutierrez",Education & School Finance (Pre & K-12),2020 Regular Session,Type:Bill,2020-05-28
5055,SB20-090,Limit Liability For Food Donations To Nonprofits,/bills/sb20-090,Concerning donations of food to nonprofit organizations for distribution to needy individuals.,Last Action:06/26/2020 | Governor Signed,1,"Sen. F. Winter, Rep. D. Esgar, Rep. B. Titone",Public Health,2020 Regular Session,Type:Bill,2020-06-26
5056,SB20-091,Minimum Pay For State Military Forces,/bills/sb20-091,Concerning increasing the minimum pay for state military forces called into service by the governor.,Last Action:03/18/2020 | Governor Signed,1,"Sen. R. Zenzinger, Sen. J. Sonnenberg, Rep. T. Exum, Rep. R. Holtorf",Military & Veterans,2020 Regular Session,Type:Bill,2020-03-18
5057,SB20-092,Robotic Device Deliver Cargo,/bills/sb20-092,"Concerning the regulation of self-propelled devices used to deliver cargo, and, in connection therewith, specifying standards for the operation of robotic devices within pedestrian areas and on highways.","Last Action:02/26/2020 | Senate Committee on Business, Labor, & Technology Postpone Indefinitely",0,Sen. J. Bridges,Business & Economic DevelopmentTransportation & Motor Vehicles,2020 Regular Session,Type:Bill,2020-02-26
5058,SB20-093,Consumer And Employee Dispute Resolution Fairness,/bills/sb20-093,"Concerning protections related to mandatory agreement provisions, and, in connection therewith, enacting the ""Consumer and Employee Dispute Resolution Fairness Act"".",Last Action:06/4/2020 | House Committee on Finance Postpone Indefinitely,0,"Sen. M. Foote, Sen. S. Fenberg, Rep. D. Jackson, Rep. M. Weissman",Courts & JudicialLabor & Employment,2020 Regular Session,Type:Bill,2020-06-04
5059,SB20-094,Plug-in Electric Motor Vehicle Registration Fees,/bills/sb20-094,"Concerning the imposition of additional plug-in electric motor vehicle registration fees by the high-performance transportation enterprise, and, in connection therewith, making the total amount of registration fees imposed on such vehicles roughly equal to the combined amount of registration fees and motor fuel taxes imposed on vehicles powered by internal combustion engines.",Last Action:02/13/2020 | Senate Committee on Transportation & Energy Postpone Indefinitely,0,Sen. K. Priola,Transportation & Motor Vehicles,2020 Regular Session,Type:Bill,2020-02-13
5060,SB20-095,Middle School Students Concurrent Enrollment Information,/bills/sb20-095,concerning concurrent enrollment to parents of middle school students.,Last Action:06/29/2020 | Governor Signed,1,"Sen. C. Holbert, Sen. L. Garcia, Rep. R. Bockenfeld, Rep. J. Coleman",Education & School Finance (Pre & K-12),2020 Regular Session,Type:Bill,2020-06-29
5061,SB20-096,Remote Notaries Protect Privacy,/bills/sb20-096,"Concerning an authorization for notaries public to perform notarial acts using audio-video communication, and, in connection therewith, making an appropriation.",Last Action:06/26/2020 | Governor Signed,1,"Sen. R. Rodriguez, Sen. C. Holbert, Rep. M. Duran, Rep. T. Carver",State Government,2020 Regular Session,Type:Bill,2020-06-26
5062,SB20-097,Unemployment Insurance Marijuana-licensed Business,/bills/sb20-097,Concerning the treatment of a marijuana-licensee-owned business that provides employment services to a commonly controlled marijuana business as a single employing unit.,Last Action:05/27/2020 | House Committee on Business Affairs & Labor Postpone Indefinitely,0,"Sen. C. Holbert, Rep. K. Van Winkle",Labor & Employment,2020 Regular Session,Type:Bill,2020-05-27
5063,SB20-098,Disaster Response First Informer Broadcaster,/bills/sb20-098,Concerning the designation of first informer broadcasters for purposes of emergency response.,"Last Action:02/5/2020 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Sen. J. Cooke, Rep. M. Snyder",Local GovernmentNatural Resources & EnvironmentState GovernmentTelecommunications & Information Technology,2020 Regular Session,Type:Bill,2020-02-05
5064,SB20-099,Thresholds For Sales Tax Collection Requirements,/bills/sb20-099,Concerning the dollar thresholds in place for certain retailers' sales tax collection requirements.,Last Action:02/4/2020 | Senate Committee on Finance Postpone Indefinitely,0,"Sen. B. Rankin, Rep. P. Will",Fiscal Policy & Taxes,2020 Regular Session,Type:Bill,2020-02-04
5065,SB20-100,Repeal The Death Penalty,/bills/sb20-100,"Concerning the repeal of the death penalty by the general assembly in all circumstances charged on or after July 1, 2020.",Last Action:03/23/2020 | Governor Signed,1,"Sen. J. Gonzales, Sen. J. Tate, Rep. J. Arndt, Rep. A. Benavidez","Crimes, Corrections, & Enforcement",2020 Regular Session,Type:Bill,2020-03-23
5066,SB20-101,Investigation Process For Pesticide Applicators,/bills/sb20-101,Concerning the procedural requirements resulting from the initiation of an investigation of a pesticide applicator.,Last Action:06/13/2020 | Senate Committee on Appropriations Postpone Indefinitely,0,Sen. J. Sonnenberg,AgricultureProfessions & Occupations,2020 Regular Session,Type:Bill,2020-06-13
5067,SB20-102,Provider Disclose Discipline Convict Sex Offense,/bills/sb20-102,Concerning required disclosures to patients regarding formal actions based on sexual misconduct.,Last Action:06/29/2020 | Governor Signed,1,"Sen. J. Ginal, Sen. J. Cooke, Rep. Y. Caraveo, Rep. B. Titone",Health Care & Health InsuranceProfessions & Occupations,2020 Regular Session,Type:Bill,2020-06-29
5068,SB20-103,Common Guidelines School District Open Enrollment,/bills/sb20-103,Concerning establishing common application guidelines for choice of schools of school districts that ensure opportunity for all students.,Last Action:06/13/2020 | Senate Committee on Appropriations Postpone Indefinitely,0,Sen. J. Tate,Education & School Finance (Pre & K-12),2020 Regular Session,Type:Bill,2020-06-13
5069,SB20-104,Powers Of Bureau Of Animal Protection Agents,/bills/sb20-104,Concerning powers of bureau of animal protection agents.,Last Action:06/29/2020 | Governor Signed,1,"Sen. J. Cooke, Rep. D. Roberts","AgricultureCrimes, Corrections, & Enforcement",2020 Regular Session,Type:Bill,2020-06-29
5070,SB20-105,Daylight Saving Time Observed Year Round,/bills/sb20-105,Concerning the designation of daylight saving time as the standard year-round time within the state.,"Last Action:02/19/2020 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Sen. R. Scott,State Government,2020 Regular Session,Type:Bill,2020-02-19
5071,SB20-106,Consent To Shelter And Services By Homeless Youth,/bills/sb20-106,Concerning the ability of homeless youth to consent to shelter or shelter services.,Last Action:06/26/2020 | Governor Signed,1,"Sen. R. Woodward, Sen. J. Ginal, Rep. C. Kipp, Rep. B. Titone",Children & Domestic MattersHousingHuman Services,2020 Regular Session,Type:Bill,2020-06-26
5072,SB20-107,Drug Production Costs Transparency Analysis Report,/bills/sb20-107,Concerning an analysis of prescription drug manufacturer data on high-cost prescription drugs paid for by specified state departments to determine the components of the production process that drive the price of the prescription drugs.,Last Action:06/3/2020 | Senate Second Reading Laid Over to 12/31/2020 - No Amendments,0,"Sen. J. Ginal, Rep. K. Mullica, Rep. D. Jackson",Health Care & Health InsuranceState Government,2020 Regular Session,Type:Bill,2020-06-03
5073,SB20-108,Landlord Prohibitions Tenant Citizenship Status,/bills/sb20-108,Concerning a prohibition on a landlord engaging in certain activities related to a tenant's citizenship status.,Last Action:05/27/2020 | House Committee on Business Affairs & Labor Postpone Indefinitely,0,"Sen. J. Gonzales, Rep. S. Gonzales-Gutierrez",HousingImmigration,2020 Regular Session,Type:Bill,2020-05-27
5074,SB20-109,Short-term Rentals Property Tax,/bills/sb20-109,Concerning the property tax classification of property used for short-term rentals.,Last Action:02/11/2020 | Senate Committee on Finance Postpone Indefinitely,0,Sen. B. Gardner,Fiscal Policy & Taxes,2020 Regular Session,Type:Bill,2020-02-11
5075,SB20-110,Penalties For Liquor Law Violations,/bills/sb20-110,Concerning fines levied by a licensing authority for violations of laws related to alcohol beverages.,Last Action:07/13/2020 | Governor Signed,1,"Sen. A. Williams, Sen. C. Holbert, Rep. M. Snyder","Liquor, Tobacco, & Marijuana",2020 Regular Session,Type:Bill,2020-07-13
5076,SB20-111,School Transportation Grant Program,/bills/sb20-111,Concerning the creation of a school transportation grant program.,"Last Action:02/12/2020 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,"Sen. D. Hisey, Rep. M. Soper, Rep. D. Valdez",Education & School Finance (Pre & K-12),2020 Regular Session,Type:Bill,2020-02-12
5077,SB20-112,College Trust Scholarship For Early Graduation,/bills/sb20-112,Concerning the creation of a college trust scholarship for students who graduate early from Colorado public high schools.,Last Action:02/13/2020 | Senate Committee on Finance Postpone Indefinitely,0,"Sen. K. Priola, Rep. B. Buentello",Education & School Finance (Pre & K-12)Higher Education,2020 Regular Session,Type:Bill,2020-02-13
5078,SB20-113,Colorado Department Of Public Health And Environment Health Facility License Requirements,/bills/sb20-113,Concerning the mandatory contents of each license issued to a health facility by the department of public health and environment.,Last Action:03/11/2020 | Governor Signed,1,"Sen. J. Tate, Rep. D. Valdez",Public Health,2020 Regular Session,Type:Bill,2020-03-11
5079,SB20-114,Registration Of Canadian Money Judgments Act,/bills/sb20-114,"Concerning the ""Uniform Registration of Canadian Money Judgments Act"".",Last Action:03/23/2020 | Governor Signed,1,"Sen. B. Gardner, Rep. K. Tipper",Courts & Judicial,2020 Regular Session,Type:Bill,2020-03-23
5080,SB20-115,Register Surplus Military Vehicle As Farm Vehicle,/bills/sb20-115,Concerning the registration of surplus military vehicles as farm vehicles.,Last Action:05/27/2020 | House Committee on Transportation & Local Government Postpone Indefinitely,0,"Sen. L. Crowder, Rep. M. Catlin",AgricultureTransportation & Motor Vehicles,2020 Regular Session,Type:Bill,2020-05-27
5081,SB20-116,Penalties For Driving Under Restraint,/bills/sb20-116,Concerning the penalties for driving under restraint when the license is restrained for reasons other than an alcohol-related offense.,Last Action:02/12/2020 | Senate Committee on Judiciary Postpone Indefinitely,0,"Sen. R. Woodward, Rep. L. Herod","Crimes, Corrections, & EnforcementTransportation & Motor Vehicles",2020 Regular Session,Type:Bill,2020-02-12
5082,SB20-117,School Employee Paycheck Transparency,/bills/sb20-117,Concerning a requirement that a local education employer disclose deductions from an employee's earnings that are used to pay for certain political activities.,"Last Action:02/12/2020 | Senate Committee on State, Veterans, & Military Affairs Postpone Indefinitely",0,Sen. J. Cooke,Labor & Employment,2020 Regular Session,Type:Bill,2020-02-12
5083,SB20-118,Hazardous Materials Transportation Permit Issuance,/bills/sb20-118,"Concerning the transfer of the function of issuing permits for the transportation of hazardous materials by motor vehicle from the public utilities commission to the department of transportation, and, in connection therewith, making an appropriation.",Last Action:06/29/2020 | Governor Signed,1,"Sen. D. Hisey, Rep. M. Gray, Rep. D. Valdez",Transportation & Motor Vehicles,2020 Regular Session,Type:Bill,2020-06-29
5084,SB20-119,Expand Canadian Prescription Drug Import Program,/bills/sb20-119,Concerning expanding the Canadian prescription drug importation program to include prescription drug suppliers from nations other than Canada upon the enactment of legislation by the United States congress authorizing such practice.,Last Action:06/10/2020 | House Committee on Health & Insurance Postpone Indefinitely,0,"Sen. J. Ginal, Rep. S. Jaquez Lewis",Health Care & Health Insurance,2020 Regular Session,Type:Bill,2020-06-10
5085,SB20-120,Apprentice Examinations And Professional Licenses,/bills/sb20-120,Concerning requirements for registered apprentices.,Last Action:07/7/2020 | Governor Signed,1,"Sen. J. Danielson, Rep. T. Sullivan",Labor & EmploymentProfessions & Occupations,2020 Regular Session,Type:Bill,2020-07-07
5086,SB20-121,Manage Gray Wolves In Colorado,/bills/sb20-121,"Concerning the management of gray wolves in Colorado, and, in connection therewith, authorizing the reintroduction of gray wolves.",Last Action:05/27/2020 | Senate Committee on Agriculture & Natural Resources Postpone Indefinitely,0,Sen. K. Donovan,Natural Resources & Environment,2020 Regular Session,Type:Bill,2020-05-27
5087,SB20-122,Mobile Veteran Support Unit Grant Program,/bills/sb20-122,Concerning establishing a mobile veteran support unit grant program.,Last Action:06/10/2020 | Senate Committee on Appropriations Postpone Indefinitely,0,Sen. K. Donovan,Military & Veterans,2020 Regular Session,Type:Bill,2020-06-10
5088,SB20-123,Compensation And Representation Of Student Athletes,/bills/sb20-123,"Concerning the rights of college athletes, and, in connection therewith, establishing their right to receive compensation for the use of their names, images, and likenesses and their right to obtain professional and legal representation.",Last Action:03/20/2020 | Governor Signed,1,"Sen. R. Fields, Sen. J. Bridges, Rep. J. Coleman, Rep. L. Herod",Higher Education,2020 Regular Session,Type:Bill,2020-03-20
